date,prophet_price,combined_price,combined_low,combined_high,prob_up
2025-12-19,85009.26613755518,85164.83139513303,74450.63310010136,97424.1395936724,0.4260307279392446
2025-12-20,84316.10792092817,86997.9608115322,76371.12516436477,99157.30766945455,0.5021707661521985
2025-12-21,83713.93763465756,86685.98221144476,76135.04148900282,98758.4892286908,0.48912122832113364
2025-12-22,83197.3301968336,85766.61486127066,75280.78509415186,97764.62117893776,0.4508183709922702
2025-12-23,82548.1426617065,85147.00043851243,74742.99144574026,97051.38649060875,0.42530127721248634
2025-12-24,82230.97476429353,85046.98210629851,74682.94757631258,96905.62892099482,0.4212157162134775
2025-12-25,81435.69107540896,82928.88371602641,72665.08328440011,94672.84152927277,0.3380004472305832
2025-12-26,80864.21800538957,82731.11775377415,72539.34330320446,94392.66261592883,0.330635783255039
2025-12-27,80349.67069118885,81644.83139917781,71517.90825490691,93232.17265513609,0.2917117238174738
2025-12-28,79941.38081981828,81205.1779744163,71129.71391034308,92733.63916241383,0.2767471302366219
2025-12-29,79629.3782522285,80573.7993519306,70537.65873493085,92057.26620215052,0.2561060771415176
2025-12-30,79199.44475101214,79662.2206137321,69680.26694593218,91083.68613708773,0.22813957066445886
2025-12-31,79091.94369118128,79567.61511361001,69599.21041199089,90973.57775493858,0.22536388957243575
2026-01-01,78522.64890319029,78967.59875197802,69070.94549021951,90291.46257539056,0.2083201502826733
2026-01-02,78161.42306822939,78081.90970102308,68230.78377294131,89353.68062866946,0.18493127563496584
2026-01-03,77843.36554156148,78021.56309294964,68210.52375265742,89247.46648848514,0.18341400820799758
2026-01-04,77612.48882536689,77617.85503825858,67835.91439545437,88810.46337140504,0.1735116683738339
2026-01-05,77456.08021092723,77461.43560955519,67699.20802847117,88631.48803207635,0.1697901182959805
2026-01-06,77162.96121482605,77168.29634688405,67443.01220962634,88296.0776585567,0.16298715156870536
2026-01-07,77160.09643562628,77165.43136961029,67440.50829666725,88292.79954736558,0.16292175959903704
2026-01-08,76681.38319578364,76686.68503100741,67022.09689343284,87745.0172858263,0.15228913657958973
2026-01-09,76379.88585358487,76385.1668429506,66758.57811951655,87400.01973361318,0.14588921682771303
2026-01-10,76095.32926280145,76100.59057761132,66509.86612966553,87074.40715417734,0.1400550210861421
2026-01-11,75872.11057365773,76046.88239033933,66484.29145544814,86988.50827958123,0.13897609374331357
2026-01-12,75699.8611297041,76039.02357859402,66498.14221470113,86955.80912846587,0.13881880635276966
2026-01-13,75374.94635945506,75712.65307398149,66212.72255504475,86582.58219881028,0.13241773570401497
2026-01-14,75317.75093723559,75727.87385588276,66235.15199928448,86589.55474683785,0.13271061471649237
2026-01-15,74784.26434883811,75578.21154698674,66152.7280204616,86362.95757184889,0.1298545303318802
2026-01-16,74416.2778785182,74920.01490172862,65540.91078996653,85651.69306990271,0.1179086761146527
2026-01-17,74061.71672956666,74847.99300037723,65513.576234244414,85528.53939671375,0.11666097291833834
2026-01-18,73768.15647446393,74551.31616260762,65253.898454667135,85189.52781350212,0.1116415962813158
2026-01-19,73529.71141578922,74310.33965178991,65042.97452231748,84914.16479877103,0.1077045498241965
2026-01-20,73152.76778229319,73929.39419592817,64709.53740312096,84478.85976087235,0.10172975346011091
2026-01-21,73049.15668423433,73824.68311056962,64617.88501007452,84359.20677045327,0.1001397269144957
2026-01-22,72500.51120741697,73270.21293863907,64132.56372860471,83725.61564738835,0.0920835931249794
2026-01-23,72132.03616762353,72897.82598331127,63806.61776521216,83300.09037806795,0.08700466296783727
2026-01-24,71798.22287805277,72560.4687647032,63511.33292224596,82914.59346618228,0.08262372337541128
2026-01-25,71546.51008521354,72306.08366281136,63288.67260634995,82623.90850140329,0.07945401593028295
2026-01-26,71371.87068520393,72129.5902034815,63134.189937688476,82422.23004371263,0.07732054921073195
2026-01-27,71086.18836213445,71840.8749338164,62881.48082591445,82092.31611648336,0.07394346841573501
2026-01-28,71088.8014777385,71843.51579156422,62883.79233793301,82095.33381538044,0.07397373420528737
2026-01-29,70679.08619469145,71429.4507659096,62521.36604516625,81622.1831611027,0.06936528846586143
2026-01-30,70462.97055197663,71211.04073131295,62330.19428653541,81372.60677969536,0.06704280652281412
2026-01-31,70296.06764467341,71042.36589917008,62182.55517115746,81179.86263990134,0.06529879816002486
2026-02-01,70221.67477155062,70967.18323405439,62116.74866031989,81093.9516718509,0.06453512188285195
2026-02-02,70231.54673662128,70977.16000484956,62125.481211559534,81105.35209288826,0.06463598149030401
2026-02-03,70136.46142434805,70881.06521928778,62041.37056533842,80995.54491806263,0.06367058951067375
