model,fold,train_start,train_end,test_start,test_end,train_bars,fit_seconds,error,n,mae,rmse,mape,smape,mase,directional_accuracy,path_directional_accuracy,return_correlation,interval_coverage,coverage_error,mean_interval_width,relative_interval_width,winkler_score,interval_level
random_walk,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,0.014459400001214817,,30,1883.684863273003,2074.794905681493,16.371049502785215,18.10950716225387,9.873333721881059,0.0,0.41379310344827586,,0.9,0.04999999999999993,6118.914896673367,0.5516993717732267,8905.294550779652,0.95
random_walk_drift,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,0.013330300003872253,,30,1563.7807015933888,1772.881971281114,13.536493189229063,14.763816040316572,8.196556141477654,1.0,0.5862068965517241,-0.10839663420883551,0.9,0.04999999999999993,6405.893581303667,0.5778757447169085,8329.872267347007,0.95
historical_mean_return,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,0.02151300001423806,,30,1688.1543818383807,1898.9662527317125,14.6151306215741,16.047458720422185,8.848460754197026,1.0,0.5862068965517241,-0.10593858921601851,0.7666666666666667,0.18333333333333324,4686.423617368262,0.42261994097536254,11130.451730964147,0.95
arima,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,0.4951181000069482,,30,1857.647174275612,2050.4687653736464,16.137522676858318,17.83192836186289,9.736857181760064,1.0,0.5862068965517241,0.3878051832282078,0.9,0.04999999999999993,6552.143760496062,0.5908046825329148,8661.147747007179,0.95
ets,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,0.16038979998847935,,30,1641.0068216855168,1849.6705784601047,14.202163051646554,15.555422447982892,8.60133682989429,1.0,0.5862068965517241,0.006999410670525672,0.9333333333333333,0.016666666666666607,7117.791396859844,0.6426327118828392,8644.546336822817,0.95
prophet,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,5.563781199991354,,30,2798.9580991880825,2991.98082743245,24.511978461455843,28.38171798722224,14.670738150344551,0.0,0.41379310344827586,-0.49954379210980465,0.23333333333333334,0.7166666666666666,3205.7164423861395,0.2907415296257871,54289.90218319073,0.95
prophet_xgb_hybrid,0,2017-01-01 00:00:00+00:00,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00,2019-07-19 00:00:00+00:00,900,6.0060828999994555,,30,2732.9859543219923,2946.657804661029,23.894462773149037,27.63585559058183,14.3249451701539,0.03333333333333333,0.4827586206896552,-0.4899597756091997,0.3,0.6499999999999999,4818.116168113394,0.4357005371824497,32278.55516975515,0.95
random_walk,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,0.013086499995552003,,30,4776.773632859995,5129.688091648344,21.19354166591553,24.08996301560108,9.781696485560909,1.0,0.4482758620689655,,0.9333333333333333,0.016666666666666607,10446.407392235455,0.46742914071119185,10827.271184531426,0.95
random_walk_drift,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,0.014897000000928529,,30,4429.913872160144,4747.6347050542945,19.66578224937032,22.12468369325308,9.071410178736524,1.0,0.5517241379310345,0.8477129963522442,0.9666666666666667,0.01666666666666672,10698.302326811568,0.4784259133599463,10715.162822345193,0.95
historical_mean_return,1,2017-01-01 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023-01-09 00:00:00+00:00,2023-02-07 00:00:00+00:00,2199,0.01007709999976214,,30,5268.640866302619,5674.200526349029,23.360949896437504,26.95449002295478,10.788923613853278,0.0,0.4482758620689655,-0.8535328558932586,0.16666666666666666,0.7833333333333333,8186.828639236365,0.3666935651367326,38599.007912963905,0.95
