model_id,family,mae,rmse,mase,bias,skill_vs_naive,directional_accuracy,balanced_accuracy,mcc,beats_train_constant,parameters,fit_seconds,total_seconds,scientific_status
uc_stochastic_cycle,STATISTICAL,0.016382313124476626,0.023353231943877468,0.999284023789495,-0.00039643512195385033,0.0007159762105050094,0.5148936170212766,0.5148684972959052,0.029755679177694186,True,4.0,3.236983599999803,3.4126880999992864,EXPLORATORY
holt_linear_trend,STATISTICAL,0.016389504136680676,0.02334516264462266,0.9997226592590885,-0.0003272686209587912,0.0002773407409114581,0.48652482269503544,0.48656000515065667,-0.026913149063722084,False,5.0,2.218794499998694,2.6778180000001157,EXPLORATORY
local_level,STATISTICAL,0.016394050248747273,0.023363882870507214,0.9999999618062924,-0.0003910246934401317,3.8193707641021035e-08,0.4950354609929078,0.4950384689672933,-0.009923141926199594,False,2.0,0.48841710000124294,0.5361136000010447,EXPLORATORY
naive_last_value,BASELINE,0.01639405087489686,0.023363884102749585,1.0,-0.00039102419748260987,0.0,0.0,0.5,0.0,False,0.0,0.0031053000002430053,0.0033832999997684965,EXPLORATORY
ar_p,STATISTICAL,0.016414967324994294,0.023374902642305517,1.0012758561173836,0.0005108190791906728,-0.001275856117383567,0.5078014184397163,0.5083657932011332,0.027626616666624443,True,4.0,0.00393640000038431,0.20938230000137992,EXPLORATORY
arima,STATISTICAL,0.016419959618786402,0.023359466968629623,1.0015803747400354,0.0006510301354108699,-0.0015803747400353618,0.5035460992907801,0.5042331959824877,0.034157098929464356,True,4.0,0.09674760000052629,0.13777980000122625,EXPLORATORY
random_walk_drift,BASELINE,0.016425341848542455,0.023369420429693658,1.0019086785739764,0.0006415845821755741,-0.0019086785739763634,0.49929078014184397,0.5,0.0,False,1.0,0.0006839999987278134,0.0007420999991154531,EXPLORATORY
egarch_11,VOLATILITY,0.016435821289194595,0.02337370104776165,1.0025479007364613,0.000782125454410024,-0.0025479007364612727,0.49929078014184397,0.5,0.0,False,6.0,0.06870789999993576,0.08729690000109258,EXPLORATORY
garch_11,VOLATILITY,0.01643907943094677,0.02337512849896332,1.0027466400094476,0.0008236819163666911,-0.0027466400094475762,0.49929078014184397,0.5,0.0,False,5.0,0.06488919999901555,0.07878429999800574,EXPLORATORY
gjr_garch_11,VOLATILITY,0.016441436474785954,0.02337617393171641,1.0028904143491253,0.0008528348270092132,-0.002890414349125292,0.49929078014184397,0.5,0.0,False,6.0,0.07003099999928963,0.07850169999983336,EXPLORATORY
local_linear_trend,STATISTICAL,0.016468591926083284,0.023387904568914777,1.0045468354194609,-6.466314724215033e-05,-0.004546835419460882,0.5177304964539007,0.5178301249034252,0.03601709860154295,True,3.0,1.1594262999988132,1.2780927999992855,EXPLORATORY
historical_mean_return,BASELINE,0.016480578099917095,0.023395874726031347,1.0052779648959567,0.0012840458529407629,-0.005277964895956666,0.49929078014184397,0.5,0.0,False,1.0,0.0026175999992119614,0.0027653999986796407,EXPLORATORY
